StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_7,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,pid,condition,night_number,rem_minutes,rem_episode_count,arousal_threshold,arousal_reached_count,induction_highest_volume,wake_time,rem_motion_avg,app_version,train_cap_reached_count,total_trains_delivered,first_train_start_time,last_train_start_time,device_time_start,motion_80pct_cutoff_first_4h
2026-06-03 23:50:40,2026-06-03 23:53:17,Adresse IP,188.61.25.0,100,157,Vrai,2026-06-03 23:53:18,R_8PM6d3E18iQr3NS,,,,,47.3779,8.5236,anonymous,EN,I remeber waking up because of a long sequence of sounds. I also remeber some dreams,No,,No,,,,0,1,0,0,0,0,2,4,3,0,2,379882713876,1,4,28,14,0.01,1,0.05,2026-06-04T05:50:27.846Z,1.482651869818621,luci2026,1,5,2026-06-04T02:34:35.926Z,2026-06-04T05:48:54.627Z,2026-06-03T21:17:04.213Z,1.4140197763228708
2026-06-04 05:01:02,2026-06-04 05:07:57,Adresse IP,67.220.73.184,100,414,Vrai,2026-06-04 05:07:57,R_3IYkj1BKGtG4TLh,,,,,41.871,-87.6289,anonymous,EN,i remember really wanting a peanut butter and jelly sandwich,No,,No,,,,0,0,0,0,0,0,0,2,1,1,1,269962413216,4,4,41,25,0.02,2,0.035,2026-06-04T11:01:00.337Z,2.0855021308188246,luci2026,1,5,2026-06-04T08:11:46.504Z,2026-06-04T09:03:42.689Z,2026-06-04T03:55:01.361Z,1.8890901214646048
2026-06-04 06:00:24,2026-06-04 06:11:35,Adresse IP,108.252.114.227,100,671,Vrai,2026-06-04 06:11:36,R_3uIOtzygb2GGZmY,,,,,29.6915,-95.0474,anonymous,EN,Events,No,,No,,,No,0,0,0,0,0,0,0,0,0,0,0,429282923166,3,5,72,18,,2,0.01,2026-06-04T12:00:20.939Z,2.1264803717616,luci2026,1,5,2026-06-04T07:08:13.768Z,2026-06-04T08:26:12.368Z,2026-06-04T02:24:40.090Z,1.9203260199841934
2026-06-05 00:58:38,2026-06-05 01:00:02,Adresse IP,188.61.25.0,100,84,Vrai,2026-06-05 01:00:03,R_868XqhGKpOIubqS,,,,,47.3779,8.5236,anonymous,EN,I domt remember my dreams,No,,No,,,,0,0,0,0,0,1,4,0,3,4,5,379882713876,7,6,66,28,0.07,2,0.07,2026-06-05T06:58:26.137Z,1.4538122177482267,luci2026,1,5,2026-06-05T03:40:17.020Z,2026-06-05T04:45:28.280Z,2026-06-04T22:59:08.583Z,1.4152749467772656
2026-06-05 04:30:14,2026-06-05 04:33:51,Adresse IP,172.59.69.173,100,216,Vrai,2026-06-05 04:33:51,R_6PSrVoZq5p12Ork,,,,,30.362,-81.6919,anonymous,EN,"Waking up more, definitely being more restless",No,,No,,,,2,1,1,1,1,1,5,5,4,1,3,989102553716,5,1,22,22,0.025,2,0.025,2026-06-05T10:30:11.937Z,1.3862401631623724,luci2026,0,4,2026-06-05T09:21:49.942Z,2026-06-05T10:26:32.029Z,2026-06-05T05:15:28.320Z,1.385332221165779
2026-06-05 19:25:27,2026-06-05 19:40:58,Adresse IP,81.65.145.137,100,930,Vrai,2026-06-05 19:40:58,R_8hNiTNkIFEIsf5l,,,,,48.8875,2.1604,anonymous,EN,Nothing,No,,No,,,No,0,0,0,0,0,0,0,3,4,4,4,769932513826,5,3,0,0,,0,,2026-06-06T01:25:23.091Z,,luci2026,0,0,,,2026-06-05T22:34:57.360Z,1.1122272930150632
2026-06-06 04:43:42,2026-06-06 04:45:45,Adresse IP,172.13.205.44,100,122,Vrai,2026-06-06 04:45:46,R_3gZui0EBrVTyiZ3,,,,,30.2801,-81.4165,anonymous,EN,"I woke up to the beeps when there were many of them in a row. ",No,,No,,,,1,1,1,1,1,1,4,4,2,1,3,989102553716,5,1,58,77,0.75,1,1,2026-06-06T10:43:39.606Z,1.3910805746707793,luci2026,1,5,2026-06-06T07:01:41.366Z,2026-06-06T07:31:57.974Z,2026-06-06T02:55:19.812Z,1.3813877280728994
2026-06-07 05:26:29,2026-06-07 05:27:31,Adresse IP,172.13.205.44,100,62,Vrai,2026-06-07 05:27:31,R_5ZCFpyxMhbrEpqH,,,,,30.2801,-81.4165,anonymous,EN,"I woke up when there were series of the sounds for a long time ",No,,No,,,,1,1,1,1,1,1,4,3,3,3,4,989102553716,1,2,19,31,0.55,1,1,2026-06-07T11:26:26.119Z,1.4329921684163145,luci2026,0,4,2026-06-07T10:15:42.966Z,2026-06-07T11:23:33.785Z,2026-06-07T04:33:16.381Z,1.4271689026075955
2026-06-08 04:41:50,2026-06-08 04:43:03,Adresse IP,172.13.205.44,100,73,Vrai,2026-06-08 04:43:03,R_11vpkbQEZJigNby,,,,,30.2801,-81.4165,anonymous,EN,"I had active dreams after I fell back asleep after being woken up by the sound of the cue. ",No,,No,,,,1,1,1,1,1,1,4,5,3,2,3,989102553716,6,3,16,75,0.55,0,0,2026-06-08T10:41:47.029Z,1.8688537043226998,luci2026,0,2,2026-06-08T08:16:00.706Z,2026-06-08T09:23:23.983Z,2026-06-08T04:03:19.656Z,1.4260550397743976
2026-06-09 05:24:23,2026-06-09 05:27:20,Adresse IP,74.124.177.221,100,176,Vrai,2026-06-09 05:27:20,R_5VwdVWBwJh6IoBr,,,,,36.002,-80.0004,anonymous,EN,"I ft like “waves” throughout my body when I heard the sounds a few time ",No,,No,,,,0,0,0,0,0,0,5,5,4,2,4,309772723476,2,2,27,102,,0,0.2,2026-06-09T11:24:20.315Z,1.81588496930764,luci2026,0,3,2026-06-09T08:16:41.125Z,2026-06-09T09:37:01.104Z,2026-06-09T03:45:30.074Z,1.373030517305574
2026-06-09 05:34:18,2026-06-09 05:35:41,Adresse IP,172.13.205.44,100,82,Vrai,2026-06-09 05:35:41,R_6I3OBUNOAs1GKRr,,,,,30.2801,-81.4165,anonymous,EN,"I remember some of what happened during my dreams but nothing strongly ",No,,No,,,,1,1,1,1,1,1,2,3,2,1,2,989102553716,2,4,17,12,0.08,1,1,2026-06-09T11:34:14.723Z,1.4369192427358353,luci2026,0,3,2026-06-09T09:05:55.055Z,2026-06-09T11:04:42.785Z,2026-06-09T04:59:33.451Z,1.430419990896528
2026-06-10 05:51:50,2026-06-10 05:52:55,Adresse IP,172.59.70.254,100,65,Vrai,2026-06-10 05:52:57,R_13pfF47slqgTl6I,,,,,30.362,-81.6919,anonymous,EN,"I just remember sleeping much better compared to previous nights ",No,,No,,,,1,1,1,1,1,1,2,1,1,1,2,989102553716,0,5,28,42,0.08,0,,2026-06-10T11:51:46.413Z,1.433466596901294,luci2026,0,0,,,2026-06-10T04:41:01.477Z,1.426466425152878
2026-06-10 04:33:48,2026-06-10 06:06:59,Adresse IP,24.60.0.240,100,5591,Vrai,2026-06-10 06:07:00,R_7O0OtU3f2P61dm6,,,,,42.3912,-71.0882,anonymous,EN,"Thoughts/ events ",No,,No,,,"Yes I remembered the dreams and that I was trying to change them ",1,0,0,0,1,0,1,3,5,4,4,309772723476,0,3,23,24,,0,,2026-06-10T10:33:45.593Z,1.4360129364949599,luci2026,0,0,,,2026-06-10T03:50:03.287Z,1.4412010344457664
2026-06-10 23:51:09,2026-06-10 23:54:21,Adresse IP,83.76.107.131,100,191,Vrai,2026-06-10 23:54:22,R_2pLGCzihmGryF1a,,,,,47.3823,8.5397,anonymous,EN,I remeber hearing the sound and thinking i could go back to the dream and try to be lucid. I am not sure if it was the dream or my imagination forcing it in a semi-awake status but i imagined to fly,Yes,Above,Yes,I think they woke me up,It was after the cues,,0,1,2,3,0,3,4,4,5,4,3,379882713876,5,7,47,16,0.09,3,0.35,2026-06-11T05:51:05.211Z,1.386199282540405,luci2026,1,5,2026-06-11T03:02:37.826Z,2026-06-11T04:05:38.353Z,2026-06-10T22:45:40.936Z,1.3707340089642395
2026-06-11 03:48:32,2026-06-11 03:49:37,Adresse IP,24.60.0.240,100,65,Vrai,2026-06-11 03:49:38,R_5ClvV1u57CZZY70,,,,,42.3912,-71.0882,anonymous,EN,NA,No,,No,,,No,0,0,0,0,0,0,4,1,2,0,3,309772723476,6,5,2,3,,0,,2026-06-11T09:48:29.873Z,1.5682043355705295,luci2026,0,0,,,2026-06-11T04:35:23.747Z,1.4976971046483278
2026-06-11 05:13:11,2026-06-11 05:16:25,Adresse IP,172.59.71.141,100,193,Vrai,2026-06-11 05:16:25,R_3yr9uIMdKElW7u9,,,,,30.362,-81.6919,anonymous,EN,"I remember feeling weirdly relaxed in my dreams like I had a lot of time. ",Yes,"I had kind of woken up and then fell back asleep again. I think there wasn’t a lot happening in the dream. So I was asleep but there wasn’t like a real plot taking place yet. So I realised I was asleep ",No,,"I think it was because I woke up a bit. ",,3,2,2,1,1,2,1,3,1,1,3,989102553716,7,6,19,34,0.09,1,0.09,2026-06-11T11:13:08.617Z,1.5322088803916831,luci2026,0,4,2026-06-11T08:29:21.726Z,2026-06-11T10:18:02.565Z,2026-06-11T04:01:33.913Z,1.429220052888109
2026-06-12 02:20:47,2026-06-12 02:22:34,Adresse IP,93.38.237.222,100,106,Vrai,2026-06-12 02:22:35,R_2gHoK94zxiTHlpo,,,,,40.8449,14.2716,anonymous,EN,I had dreams,No,,No,,,No,0,0,0,0,0,0,2,4,4,3,3,379882713876,3,8,74,14,0.08,3,0.65,2026-06-12T08:20:36.060Z,1.4453113805354658,luci2026,1,5,2026-06-12T02:45:00.988Z,2026-06-12T05:39:49.700Z,2026-06-11T22:33:49.791Z,1.4053247697524147
2026-06-12 05:43:14,2026-06-12 05:44:14,Adresse IP,172.56.196.107,100,60,Vrai,2026-06-12 05:44:15,R_6FFkNwAlpSZbfej,,,,,42.2904,-71.0712,anonymous,EN,None,No,,No,,,No,0,0,0,0,0,0,0,4,4,1,4,309772723476,1,6,22,16,,0,1,2026-06-12T11:43:10.721Z,1.4292935121679984,luci2026,1,5,2026-06-12T08:46:24.883Z,2026-06-12T11:16:39.784Z,2026-06-12T04:40:01.595Z,1.4319330074271845
2026-06-12 06:01:00,2026-06-12 06:02:07,Adresse IP,172.13.205.44,100,66,Vrai,2026-06-12 06:02:07,R_6P5B2N98Ey9YHIl,,,,,30.2801,-81.4165,anonymous,EN,I felt more relaxed than previous nights,No,,No,,,,1,1,1,1,1,1,1,2,1,1,1,989102553716,3,7,55,55,0.65,2,0.65,2026-06-12T12:00:54.905Z,1.4434402865711733,luci2026,1,5,2026-06-12T08:47:15.305Z,2026-06-12T09:31:09.970Z,2026-06-12T04:37:54.173Z,1.4331808992510942
2026-06-12 23:56:48,2026-06-12 23:58:57,Adresse IP,79.62.33.17,100,128,Vrai,2026-06-12 23:58:57,R_8xYw0LH3TycwHft,,,,,41.7716,12.2366,anonymous,EN,No lucid dreams,No,,Yes,-,,I thjnk there was a bug and a weird sound started to play like a bee noise flying,1,0,1,0,1,1,2,4,3,2,3,379882713876,7,9,7,18,0.08,0,0,2026-06-13T05:56:42.122Z,3.8039145399695293,luci2026,0,1,2026-06-13T05:53:59.320Z,2026-06-13T05:53:59.320Z,2026-06-12T22:58:54.588Z,1.397261719867202
2026-06-13 05:09:49,2026-06-13 05:12:31,Adresse IP,24.60.0.240,100,161,Vrai,2026-06-13 05:12:31,R_1u27sMXakGfXINH,,,,,42.3912,-71.0882,anonymous,EN,"I remember being aware that I’m sleeping / first steps of lucid dreaming ",Yes,"In the morning, I was wondering am I awake or asleep and I realized I was asleep and was very happy to be Lucid",No,,"No idea ","Bliss and happiness when I realized I’m lucd ",3,4,0,0,3,0,1,0,0,0,0,309772723476,7,7,0,22,,0,,2026-06-13T11:09:46.830Z,2.5206317622540646,luci2026,0,0,,,2026-06-13T04:21:47.885Z,2.4174884865233404
2026-06-13 08:40:44,2026-06-13 08:41:46,Adresse IP,172.13.205.44,100,61,Vrai,2026-06-13 08:41:46,R_6UfuB9DjZH1RCIQ,,,,,30.2801,-81.4165,anonymous,EN,"I slept better than usual and remember having more dreams ",No,,No,,,,1,1,1,1,1,1,2,2,2,1,1,989102553716,4,8,26,83,0.15,1,0.15,2026-06-13T14:40:41.948Z,1.5461218918145436,luci2026,1,5,2026-06-13T10:54:54.109Z,2026-06-13T12:38:34.018Z,2026-06-13T05:16:25.133Z,1.4278702088629367
2026-06-14 01:53:48,2026-06-14 01:54:54,Adresse IP,79.62.33.17,100,65,Vrai,2026-06-14 01:54:54,R_2PocFuuTHyg0ky5,,,,,41.7716,12.2366,anonymous,EN,Not a lot,No,,No,,,No,0,1,1,2,1,0,4,3,4,4,5,379882713876,0,10,45,10,0.08,0,,2026-06-14T07:53:42.645Z,1.4288550018202562,luci2026,0,0,,,2026-06-13T23:18:54.194Z,1.4163399898022027
2026-06-14 05:30:07,2026-06-14 05:31:20,Adresse IP,172.13.205.44,100,72,Vrai,2026-06-14 05:31:20,R_7MQLmHz87mSh9Hf,,,,,30.2801,-81.4165,anonymous,EN,"I had vivid dreams. ",No,,No,,,,1,1,1,1,1,1,1,1,1,1,1,989102553716,3,9,13,46,,1,0,2026-06-14T11:30:05.509Z,1.4417627851947015,luci2026,0,1,2026-06-14T10:43:09.985Z,2026-06-14T10:43:09.985Z,2026-06-14T04:09:42.321Z,1.426549153898427
2026-06-15 05:59:28,2026-06-15 06:00:09,Adresse IP,172.59.71.207,100,41,Vrai,2026-06-15 06:00:10,R_1URsmQX8NNektUJ,,,,,30.362,-81.6919,anonymous,EN,"I slept pretty much straight through the night ",No,,No,,,,1,1,1,1,1,1,1,1,1,1,1,989102553716,2,10,5,6,,0,0,2026-06-15T11:59:22.740Z,1.4378630817650446,luci2026,0,1,2026-06-15T09:47:52.178Z,2026-06-15T09:47:52.178Z,2026-06-15T04:57:53.228Z,1.4298550331909954
2026-06-16 06:19:19,2026-06-16 06:20:22,Adresse IP,172.59.67.18,100,62,Vrai,2026-06-16 06:20:22,R_52EvOJyfiFhJGaZ,,,,,30.2712,-81.7529,anonymous,EN,"I slept more deeply while having dreams ",No,,No,,,,1,1,1,1,1,1,1,1,2,1,1,989102553716,6,11,11,20,,0,0.45,2026-06-16T12:19:14.109Z,1.9319332159642657,luci2026,0,2,2026-06-16T10:16:52.781Z,2026-06-16T10:41:41.975Z,2026-06-16T05:54:28.292Z,1.431941821188629
2026-06-19 08:01:14,2026-06-19 08:11:33,Adresse IP,72.136.111.66,100,619,Vrai,2026-06-19 08:11:33,R_7Po2OLndqJqQk3k,,,,,43.6661,-79.8065,anonymous,EN,Was in a restaurant with family and saw my guidance counselor with her family and was surprised and I sit close to them and talked,No,,No,,,No,1,1,1,1,1,1,1,1,3,4,1,649352693886,0,2,118,6,,0,,2026-06-19T14:01:08.843Z,0.4255658129853704,luci2026,0,0,,,2026-06-19T05:02:15.476Z,0.5000099007474158
2026-06-19 08:11:46,2026-06-19 08:13:35,Adresse IP,72.136.111.66,100,109,Vrai,2026-06-19 08:13:36,R_6CQ9fwvNnG9OUAM,,,,,43.6661,-79.8065,anonymous,EN,I was in a hotel with my family and I felt excited and nostalgia and we went to the pool,No,,No,,,No,1,1,1,1,1,1,3,1,1,1,1,649352693886,0,2,49,6,,0,,2026-06-18T11:33:15.782Z,0.3228347413673711,luci2026,0,0,,,2026-06-18T04:40:00.166Z,0.3329407785659721
2026-06-20 07:07:51,2026-06-20 07:39:02,Adresse IP,99.244.216.96,100,1871,Vrai,2026-06-20 07:39:03,R_6HbeErUBBZESX9O,,,,,43.5903,-79.7598,anonymous,EN,Me talking to my cousin's dog and another dream where my other cousin tries to break my watch,No,,No,,,No,0,1,0,0,0,0,1,1,1,1,1,649352693886,7,4,58,6,0.05,4,0.07,2026-06-20T13:07:48.038Z,0.33536111161098103,luci2026,1,5,2026-06-20T09:52:29.018Z,2026-06-20T10:42:00.019Z,2026-06-20T05:50:28.000Z,0.3563643679907252
2026-06-21 06:22:19,2026-06-21 09:18:15,Adresse IP,99.244.216.96,100,10556,Vrai,2026-06-21 09:18:16,R_1OrDbdDxeLw83Or,,,,,43.5903,-79.7598,anonymous,EN,I remember being in some vintage movie theater where I had this Controller and some lady said I could control the movie with it and the cues woke me up from the dream but didn't make me lucid,No,,Yes,"I heard it in the dream but woke up shortly after ",,No,0,0,0,0,0,0,0,4,0,2,4,649352693886,3,5,23,6,0.07,3,0.07,2026-06-21T12:22:14.305Z,0.6610337130089451,luci2026,0,4,2026-06-21T10:35:43.648Z,2026-06-21T12:03:27.656Z,2026-06-21T06:27:59.632Z,0.557145349583824
2026-06-24 02:13:59,2026-06-24 02:17:01,Adresse IP,18.29.46.154,100,181,Vrai,2026-06-24 02:17:01,R_5uVRto2joN0IRa4,,,,,42.3649,-71.0987,anonymous,EN,Nothing; I did not have any dreams.,No,,No,,,No,1,1,1,1,1,1,1,4,1,4,3,719602313796,3,2,0,0,,0,,2026-06-24T08:13:56.740Z,,luci2026,0,0,,,2026-06-24T04:55:35.052Z,2.0220643429477083
2026-06-24 02:21:32,2026-06-24 02:26:06,Adresse IP,72.50.4.60,100,273,Vrai,2026-06-24 02:26:06,R_6wouFHkbknN6Tdt,,,,,18.4723,-66.1052,anonymous,EN,Nothing,No,,No,,,No,0,0,0,0,0,0,1,0,0,0,0,559152833836,2,1,22,2,0.8,3,0.8,2026-06-24T08:21:30.724Z,0.1798814487955067,luci2026,0,3,2026-06-24T07:32:45.799Z,2026-06-24T08:15:14.798Z,2026-06-24T03:30:44.779Z,0.20090320201072714
