"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)",lucid_state,"If so, describe when and how you realized you were dreaming",cue_notice,"If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.,"While dreaming, I often asked myself whether I was dreaming.","While dreaming, I was aware of the fact that other dream characters in my dream were not real.",You feel more restless than usual,You woke up more than usual during last night,Waking up in the morning was more difficult than usual,It took longer than usual to wake up,You felt more tired than usual when waking up,pid,condition,night_number,rem_minutes,rem_episode_count,induction_highest_volume,rem_motion_avg,train_cap_reached_count,total_trains_delivered,device_time_start,motion_80pct_cutoff_first_4h
"Waking up more, definitely being more restless",0,,0,,,,2,1,1,1,1,1,5,5,4,1,3,989102553716,5,1,22,22,0.025,1.3862401631623724,0,4,2026-06-05T05:15:28.320Z,1.385332221165779
I woke up to the beeps when there were many of them in a row. ,0,,0,,,,1,1,1,1,1,1,4,4,2,1,3,989102553716,5,1,58,77,1,1.3910805746707793,1,5,2026-06-06T02:55:19.812Z,1.3813877280728994
I woke up when there were series of the sounds for a long time ,0,,0,,,,1,1,1,1,1,1,4,3,3,3,4,989102553716,1,2,19,31,1,1.4329921684163145,0,4,2026-06-07T04:33:16.381Z,1.4271689026075955
I had active dreams after I fell back asleep after being woken up by the sound of the cue. ,0,,0,,,,1,1,1,1,1,1,4,5,3,2,3,989102553716,6,3,16,75,0,1.8688537043226998,0,2,2026-06-08T04:03:19.656Z,1.4260550397743976
I ft like “waves” throughout my body when I heard the sounds a few time ,0,,0,,,,0,0,0,0,0,0,5,5,4,2,4,309772723476,2,2,27,102,0.2,1.81588496930764,0,3,2026-06-09T03:45:30.074Z,1.373030517305574
I remember some of what happened during my dreams but nothing strongly ,0,,0,,,,1,1,1,1,1,1,2,3,2,1,2,989102553716,2,4,17,12,1,1.4369192427358353,0,3,2026-06-09T04:59:33.451Z,1.430419990896528
I just remember sleeping much better compared to previous nights ,0,,0,,,,1,1,1,1,1,1,2,1,1,1,2,989102553716,0,5,28,42,,1.433466596901294,0,0,2026-06-10T04:41:01.477Z,1.426466425152878
Thoughts/ events ,0,,0,,,Yes I remembered the dreams and that I was trying to change them ,1,0,0,0,1,0,1,3,5,4,4,309772723476,0,3,23,24,,1.4360129364949599,0,0,2026-06-10T03:50:03.287Z,1.4412010344457664
I remeber hearing the sound and thinking i could go back to the dream and try to be lucid. I am not sure if it was the dream or my imagination forcing it in a semi-awake status but i imagined to fly,1,Above,1,I think they woke me up,It was after the cues,,0,1,2,3,0,3,4,4,5,4,3,379882713876,5,7,47,16,0.35,1.386199282540405,1,5,2026-06-10T22:45:40.936Z,1.3707340089642395
NA,0,,0,,,No,0,0,0,0,0,0,4,1,2,0,3,309772723476,6,5,2,3,,1.5682043355705295,0,0,2026-06-11T04:35:23.747Z,1.4976971046483278
I remember feeling weirdly relaxed in my dreams like I had a lot of time. ,1,I had kind of woken up and then fell back asleep again. I think there wasn’t a lot happening in the dream. So I was asleep but there wasn’t like a real plot taking place yet. So I realised I was asleep ,0,,I think it was because I woke up a bit. ,,3,2,2,1,1,2,1,3,1,1,3,989102553716,7,6,19,34,0.09,1.5322088803916831,0,4,2026-06-11T04:01:33.913Z,1.429220052888109
I had dreams,0,,0,,,No,0,0,0,0,0,0,2,4,4,3,3,379882713876,3,8,74,14,0.65,1.4453113805354658,1,5,2026-06-11T22:33:49.791Z,1.4053247697524147
None,0,,0,,,No,0,0,0,0,0,0,0,4,4,1,4,309772723476,1,6,22,16,1,1.4292935121679984,1,5,2026-06-12T04:40:01.595Z,1.4319330074271845
I felt more relaxed than previous nights,0,,0,,,,1,1,1,1,1,1,1,2,1,1,1,989102553716,3,7,55,55,0.65,1.4434402865711733,1,5,2026-06-12T04:37:54.173Z,1.4331808992510942
No lucid dreams,0,,1,-,,I thjnk there was a bug and a weird sound started to play like a bee noise flying,1,0,1,0,1,1,2,4,3,2,3,379882713876,7,9,7,18,0,3.8039145399695293,0,1,2026-06-12T22:58:54.588Z,1.397261719867202
I slept better than usual and remember having more dreams ,0,,0,,,,1,1,1,1,1,1,2,2,2,1,1,989102553716,4,8,26,83,0.15,1.5461218918145436,1,5,2026-06-13T05:16:25.133Z,1.4278702088629367
Not a lot,0,,0,,,No,0,1,1,2,1,0,4,3,4,4,5,379882713876,0,10,45,10,,1.4288550018202562,0,0,2026-06-13T23:18:54.194Z,1.4163399898022027
I had vivid dreams. ,0,,0,,,,1,1,1,1,1,1,1,1,1,1,1,989102553716,3,9,13,46,0,1.4417627851947015,0,1,2026-06-14T04:09:42.321Z,1.426549153898427
I slept pretty much straight through the night ,0,,0,,,,1,1,1,1,1,1,1,1,1,1,1,989102553716,2,10,5,6,0,1.4378630817650446,0,1,2026-06-15T04:57:53.228Z,1.4298550331909954
I slept more deeply while having dreams ,0,,0,,,,1,1,1,1,1,1,1,1,2,1,1,989102553716,6,11,11,20,0.45,1.9319332159642657,0,2,2026-06-16T05:54:28.292Z,1.431941821188629
Was in a restaurant with family and saw my guidance counselor with her family and was surprised and I sit close to them and talked,0,,0,,,No,1,1,1,1,1,1,1,1,3,4,1,649352693886,0,2,118,6,,0.4255658129853704,0,0,2026-06-19T05:02:15.476Z,0.5000099007474158
I was in a hotel with my family and I felt excited and nostalgia and we went to the pool,0,,0,,,No,1,1,1,1,1,1,3,1,1,1,1,649352693886,0,2,49,6,,0.3228347413673711,0,0,2026-06-18T04:40:00.166Z,0.3329407785659721
Me talking to my cousin's dog and another dream where my other cousin tries to break my watch,0,,0,,,No,0,1,0,0,0,0,1,1,1,1,1,649352693886,7,4,58,6,0.07,0.33536111161098103,1,5,2026-06-20T05:50:28.000Z,0.3563643679907252
I remember being in some vintage movie theater where I had this Controller and some lady said I could control the movie with it and the cues woke me up from the dream but didn't make me lucid,0,,1,I heard it in the dream but woke up shortly after ,,No,0,0,0,0,0,0,0,4,0,2,4,649352693886,3,5,23,6,0.07,0.6610337130089451,0,4,2026-06-21T06:27:59.632Z,0.557145349583824
Nothing,0,,0,,,No,0,0,0,0,0,0,1,0,0,0,0,559152833836,2,1,22,2,0.8,0.1798814487955067,0,3,2026-06-24T03:30:44.779Z,0.20090320201072714
"I was quite relaxed when i went to sleep. I was tired. I do remember thinking at one point during the night, this is lucidity.",1,"While I was dreaming, I felt like I was awake. I felt concious that I was still asleep, but also knew at that time that I had some control of the direction this dream would go. ",0,,"I don't recall how, or what prompted it.  I feel like I was thinking I could/should write it all down so I could remember. But, unfortunately, I don't remember all the details.  Only that I thought, oh here we are, I'm aware that I'm asleep and knew that I was dreaming, but I was not in control enough to actually wake. ",Not at this moment..,4,4,4,3,2,2,3,3,3,1,4,999252563296,1,1,2,1,,2.330940397477812,0,1,2026-06-24T02:31:54.148Z,0.31242552918884803
Nothing ,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,299542783686,1,2,30,3,1,0.26664178046855963,1,5,2026-06-24T04:05:17.588Z,0.2401028900481792
No dreams,0,,0,,,,3,3,3,3,3,2,2,0,1,1,1,929882413656,3,1,19,2,0.2,2.2870607121245983,0,3,2026-06-24T04:10:24.205Z,3.405822367815947
I had no dreams last night.,0,,0,,,,0,0,0,0,0,0,4,4,0,0,3,859972693426,6,2,6,7,0.08,1.909141737214936,0,1,2026-06-24T04:26:05.451Z,1.7167136348405396
"Traveling in Europe. Flirting with a woman. Speaking some broken German. There were mountains and castles. I went around exploring but then the woman was mad at me because I left her to go explore then came back to her. Then I was in a German language class.

Then I was traveling with my friend will. We went to Gaza and bought some delicious food from a local Street vendor. Then we're about to head to Israel. And I remembered that the war was going on. Then I woke. I remember thinking that he probably wanted to go to certain places because he's never been before. And maybe I would want to not go to the same places and wondering if it was a good idea to travel with him",0,,0,,,I didn't sleep that great. I usually wear ear plugs when I sleep. I assume that I can't wear them during this study. I've become so accustomed to wearing ear plugs and an eye mask when I sleep. I did wear the eye mask. I'm not sure if I was supposed to or not,0,0,0,0,0,0,4,4,1,0,3,909232733626,3,2,9,1,0.03,0.5486229518087988,0,1,2026-06-24T04:50:15.302Z,0.756121275299613
Being with others and traveling ,1,Sensation of being elsewhere ,0,,Not sure,Peaceful ,3,4,2,2,1,1,0,1,0,0,0,379172703886,1,1,75,9,0.8,0.2979359813648772,1,5,2026-06-24T01:30:25.529Z,0.32495617794575776
None,0,,0,,,,1,1,1,1,1,1,1,1,1,1,4,349462673936,4,1,8,2,0.05,0.06829511026150066,0,2,2026-06-24T02:43:56.540Z,0.07417084167951361
Nothing.,0,,0,,,No,1,1,1,1,1,1,3,2,2,2,4,389482323236,0,1,102,23,,2.2581092358652435,0,0,2026-06-24T03:26:49.206Z,2.3076252332032654
"Weird.  I don't know how old I was but I was with a couple and their 3 kids and we were supposed to be doing some worksheets. The husband somehow spilled the sauce over the living room and dining room
 He got sauce on the walls, carpet,  dapes, furniture,  and also broke a few dozen dishes in the process. When I went to help clean it up,  the wife accused me of wanting her husband.  Then my husband called and told me to come home.  In the dream, I know I was not old enough to be married.  I was more like the children's ages- 9, 10.  It left me felling weird  and out of sorts when I woke up.",0,,0,,,I did hear a train sound that upon waking was my phone.,1,2,5,3,1,1,3,4,1,1,1,299342693996,6,1,76,12,1,0.6053002528870793,1,5,2026-06-24T02:31:55.193Z,0.4392673007905475
Dinosaurs and having to run from something,0,,0,,,No,1,2,1,1,1,1,1,1,1,1,1,869822633666,4,1,17,4,1,0.20279064921196827,0,3,2026-06-24T04:27:03.707Z,0.18272082743313503
I felt like my sleep was lighter than normal. I remember being in someone’s room (potentially mine) and laying down and being told to watch these flashing lights for my sleep. The guy leading this study was a young (like early 20s) cute dude. He gave me a back massage and then I don’t remember what happened next but the dream changed to another dream.,0,,0,,,I woke up a few times because of the beeping because they were played close together ,0,2,0,2,0,0,3,5,0,0,1,689222633176,1,1,6,19,0,2.697344984895237,0,1,2026-06-24T03:23:08.303Z,1.8171712605200439
I remember staying in a hotel. I remember walking my dog in a parking lot.,0,,0,,,I remember a dreamlike state while first falling asleep,0,0,0,0,0,0,3,4,1,1,1,609382353906,5,1,18,9,0.02,0.5860265898559838,0,3,2026-06-24T03:08:28.218Z,0.5508283991639984
"The previous evening I was called out for my job and only got 4 hours of sleep, with no nap, so I was extremely tired. I tried to get to sleep using a dream starter to see see where my mind would take me and if I could lucid dream. I did the practice, but once I fell asleep, I don't remember any of my dreams. I felt like there were periods where I was more lucid and wondered if my phone was working because I didn't hear the tone, and when I did hear the tone, I reacted like it was an alarm and tried to get it to stop, so I'll have to keep practicing with it. ",0,,0,,,,1,1,1,1,1,1,4,4,3,3,4,559112503106,1,1,84,12,0.08,0.9033825202648869,1,5,2026-06-24T02:21:30.977Z,0.9453576051911354
Don't recall dreaming. ,0,,0,,,no,0,0,0,0,0,0,0,0,2,2,2,389132113316,2,2,4,1,0,0.2975388440006229,0,1,2026-06-24T06:23:17.943Z,0.13038086809157473
"Numb tingling, kept eakinh me",0,,1,Wole me jup,,Tried to induce dream. Make pics. Snorkel,5,5,2,5,1,3,0,4,4,4,4,139662433656,2,1,118,7,1,0.15537752768619964,1,5,2026-06-24T03:11:29.020Z,0.13271293981524548
I remember thinking about my wife right before waking up.. I may have been awake at that point but I did not move or open my eyes.  She is in Iceland this week with two of our three children. ,0,,0,,,"Nothing, I do not feel refreshed this morning, I did go to bed late last night, 2:30 Am.   Which isn't abnormal.. Let me know if I should actively try to go to bed earlier",0,0,0,0,2,0,5,1,5,5,5,869982223106,1,1,21,3,1,0.2974244546008336,1,5,2026-06-24T06:41:32.619Z,0.26096372144743774
Only bits and pieces. Normal life scenarios. Feelings of calm.,0,,0,,,No,1,0,0,0,0,0,0,0,1,1,0,719202523406,6,1,6,3,,2.750924547136094,0,1,2026-06-24T07:37:59.272Z,0.921718938329927
"I don't recall having any dreams last night. I actually didn't sleep well, but I've been going through a bout of insomnia lately. ",0,,1,I didn't have a dream last night but I do recall in a sleeping haze hearing beeping.,,No,3,4,4,4,0,5,3,3,1,2,1,119252313396,5,1,51,8,1,0.41362960178926206,1,5,2026-06-24T01:53:36.636Z,0.44782561266476306
I felt cautious. My grandfather was in it who passed away over 6 years ago,0,,0,,,I was glad to see my grandpa ,1,1,1,1,1,1,2,4,1,1,3,769362533216,7,1,21,3,1,0.5774596472947199,0,4,2026-06-24T06:00:53.178Z,0.4360239437028962
Nothing,0,,0,,,No,0,0,0,0,0,0,0,1,1,1,1,469412693116,3,1,46,11,0.45,0.18829361721893328,1,5,2026-06-24T03:39:04.587Z,0.10654419325720037
Very little. I didn't sleep very well and barely remember anything. ,1,They're was a point in one of my dreams where I was late for work. But i knew it wasn't real. ,1,I heard the ring noise from my phone as my alarm to wake up,It was spontaneous. I was just aware that I was dreaming and it wasn't real.  ,I didn't sleep well. I got a bug bite and was tossing and turning all night so I don't remember much.,3,3,3,3,2,2,1,4,4,3,4,989422303806,5,1,75,4,1,0.16246402709279817,1,5,2026-06-24T03:54:41.481Z,0.30248972643696037
"I remember talking to people, but I don't remember what the conversation was about except for a few sentences about a specific person.",0,,0,,,,0,0,0,2,0,3,5,2,0,0,2,539362833586,0,1,103,14,,0.11975473121171168,0,0,2026-06-24T04:12:02.565Z,0.10605941609307984
No,0,,0,,,No,1,0,0,1,0,0,0,0,2,2,1,669392133326,5,2,29,10,0.55,1.7235555546966066,0,4,2026-06-24T06:32:42.490Z,1.652771940826799
"I had more vivid dreams, I was at no point lucid but as soon as the dream ended I was aware of it",0,,0,,,No,2,2,2,2,1,2,1,3,3,3,3,729422983146,6,1,86,9,1,0.8542594499270059,1,5,2026-06-24T06:26:33.601Z,0.9231751327505653
I remember realizing it was a dream but don't remember details ,1,I just knew somehow,0,,It just sorta happened ,,3,1,2,3,0,3,0,3,0,0,1,489412463416,1,2,29,5,0.95,0.06367662507900561,1,5,2026-06-24T14:00:45.353Z,0.042205659618575586
"I was really high up in the air and about to skydive, i could choose a ton of things to fall woth and i remember the person i was with. Getting to this height was also optional by me",0,,0,,,,2,3,5,5,0,0,2,4,3,3,2,809312773786,0,3,70,12,,1.7641692561685807,0,0,2026-06-24T16:10:55.073Z,1.688863820774085
Yes,1,2am floating ,1,Trees and sunlight,Spontaneous ,Floating ,4,3,4,3,3,3,3,2,2,2,1,579562183996,2,2,16,6,0,0.6600135029371225,0,4,2026-06-25T00:38:12.529Z,0.5849371467442512
Peaceful ,1,Experiencing activity elsewhere ,0,,Unsure ,No,3,3,3,3,1,3,1,1,0,0,0,379172703886,3,2,97,2,1,0.4405431714364933,1,5,2026-06-25T01:29:06.963Z,1.1500915217140155
Nothimg,0,,0,,,No.,0,0,0,0,0,0,1,0,0,0,0,559152833836,0,2,106,15,,0.47956559996767895,0,0,2026-06-25T02:26:15.242Z,0.5042880996244644
"Nothing really, just being woken up once by my own prompt "" I am dreaming"" .",0,,0,,,No,0,0,0,0,0,0,2,2,0,0,0,299342693996,4,2,80,8,0.55,0.4294555902466112,1,5,2026-06-25T02:48:10.217Z,0.560786294177929
Trying to organize a  luncheon for work  and not getting any cooperation from others ,0,,0,,,Looking for a bathroom ,1,1,1,1,1,1,3,1,1,1,1,989992953266,5,1,29,14,1,0.1775115647515775,1,5,2026-06-25T03:22:20.793Z,0.18051751361393514
Nothing,0,,0,,,No,0,0,0,0,0,0,0,0,3,3,3,609382353906,7,2,5,1,0.75,0.2697592878075045,0,1,2026-06-25T04:02:45.015Z,0.27706321975380094
Cleaning.  Helojgvold nan race clearing out iffif3 withvrorren food er with 2vguys  willing to work elsewkere,1,Just knew.  Durected,0,,Just was,,4,4,1,4,1,4,3,4,4,4,4,139662433656,1,2,19,2,1,0.1805526192083692,0,3,2026-06-25T02:30:10.940Z,0.20292231194621832
"I was visiting my friend will. He had some interesting pets. One was a gorilla. I was worried that it would get angry and attack me. It looks cute otherwise though. The other was too baby penguins that were shivering because we fed them ice cream. Then I remember going to a convenience store because I wanted coffee and they were done making coffee and I spoke to them in Spanish about why the coffee wasn't able to be made anymore. I also remember something about a British coworker. He and I usually don't get along. And this time, He saw me swimming in the pool and said that I looked chipper and was wondering what I've been up to. I told him I've been doing a lot of Fitness and I noticed him feeling skeptical about me and thinking that I don't do any work. I Was also helping either coworkers or my estranged sister to fix some wardrobe. Malfunctions they were having during the work day. Then I also remember talking to my neighbor Pat. Heroes telling me about some Job fair or conference at his company. But it was today and I had to work Cover bei continuier listening to him because he's bigger than me and tough. I was asking him where he goes during the winter because he goes to the cape during the summer and he wasn't really telling me much of anything. ",0,,0,,,I also was awake for a while.  This was probably because I'm still getting used to sleeping without ear plugs in my ears and it was hot so I had the fan on. I woke with an erection a few times but don't remember any sexual dreams ,0,0,0,0,0,0,3,4,2,2,3,909232733626,3,2,51,13,0.08,0.2809926525721814,1,5,2026-06-25T02:30:22.172Z,0.2309255281028185
I woke up once in the night for the bathroom. No dreams. ,0,,0,,,,0,0,0,0,0,0,0,0,4,0,4,389132113316,7,3,7,2,0.08,0.269112100370263,0,1,2026-06-25T06:22:42.778Z,0.20906207631055648
One dream was about being in a stadium and handing out tickets.,0,,0,,,No,4,1,1,3,1,2,4,5,1,1,1,199302983846,2,1,60,10,0.2,0.2921506956067848,1,5,2026-06-25T03:55:27.247Z,0.30338518850146845
"I remember as I was drifting off, I was wondering if I actually drifted yet. Not completely lucid, but semi. I",1,"I was laying down physically, then I realized I felt like I was standing up. Nothing drastic, but I was lucid in the setting of my bedroom, which was hard to tell.",0,,"Maybe it was the thought of being lucid? Idk. I was dwelling on it and then maybe that triggered it, along with the cues.",No,3,2,2,2,3,3,1,0,0,0,0,189282363536,0,1,23,4,,0.16949028744950803,0,0,2026-06-25T05:37:47.083Z,0.2514318287548525
Events,1,I knew something in my dream wasn't real.,0,,Spontaneous ,No,4,3,3,3,2,3,1,4,3,3,3,989422303806,3,2,98,6,0.09,0.3667468471760052,1,5,2026-06-25T04:28:15.736Z,0.5474366623215925
Normal everyday life dreams,0,,1,I was awake or in light sleep so it woke me.,,No,0,0,0,0,0,0,0,0,0,0,0,719202523406,2,2,52,5,1,0.6954800772689846,1,5,2026-06-25T06:25:03.889Z,0.8762454262823024
I had one dream that I very vaguely remember and was not lucid at all,0,,0,,,No,1,1,1,2,1,1,4,1,2,1,2,729422983146,4,2,111,7,0.35,0.3207305909777287,1,5,2026-06-25T06:46:50.996Z,0.28781195401610676
No,0,,0,,,No,0,0,0,1,0,0,1,0,2,1,1,489412463416,1,2,50,11,1,0.6995351634342418,1,5,2026-06-25T06:25:09.334Z,1.087209747859189
"I remember listening to the instructions on the app,and musr have dozed off, because it was quiet. ",1,"I had been dreaming about the preschool I had run years ago. My minds eye then turned to .y deciding on which very colorful, primary colored cartoon shapes I could choose to keep. I  remember thinking I needed to remember this moment, don't forget the shift in reality. I thought about why then? What would make me need to be aware that I was dreaming, and insist I remember that color scheme? I was aware that I driving my options.",0,,I am not sure if there was a cue to prompt it.  I often dream at night and remember highlights of them in the morning. ,Just that I felt I had an opportunity to change directions.,4,3,3,4,2,4,3,0,1,1,1,999252563296,2,3,4,1,0,0.16332324934168072,0,1,2026-06-26T02:45:12.480Z,0.10684672970074156
No,0,,0,,,No,0,0,0,0,0,0,3,0,2,4,0,299542783686,2,4,16,2,1,0.3302832653183185,0,3,2026-06-26T05:21:24.717Z,0.3911290195427041
On a bridge and exercising ,1,While exercising ,0,,Not sure,No,4,3,3,3,1,3,1,1,1,1,1,379172703886,0,1,50,7,,0.18994703835443244,0,0,2026-06-26T01:09:08.936Z,0.32123660982569374
I had a realization that I forgot to ask for the leases for the commercial spaces for the house that I just bought. I looked around and there was a circus act going on. I was up on top of some platform. I must have climbed up and I had slid down before using a pipe but then I looked all around and there wasn't any easy way down anymore. Then I saw that in the circus the main actress was about to faint. And some firemen went up into a ladder. Joined her in the circus. And rescued her in a stretcher. I had a thought that I could also come back down using the stretcher because I was afraid of heights and up at such a high height without a way down. Then I ended up traveling somewhere with my estrange sister and my coworker was there too. There was something about ordering food. He ordered some pizza but he didn't really like it. I ordered some type of salmon dish that had all sorts of good things in it and it was really tasty. He seemed pretty jealous. I think I went somewhere with my sister. We were in a hotel and I think I was there with a volunteer group from strange organization or church. We were sitting down to dinner and then the hotel decided that they were going to take a break and didn't serve us dinner because the hour before dinner was reserved for petting the dogs. Then I remember going to a bedroom and getting ready for bed. But I could hear my sister talking to someone and it sounded like she was describing some type of torture or trouble that she was having.,0,,0,,,No. I woke up for a while around 3:00 a.m. and couldn't fall back to sleep. I read for a bit and put in some ear plugs and that helped. So I slept for another couple hours.,1,1,0,1,2,1,3,3,2,1,4,909232733626,0,3,50,12,,0.22450889632661905,0,0,2026-06-26T02:32:24.447Z,0.2409663721793448
I just vaguely remember I dreamt about someone ,0,,0,,,,0,0,0,0,0,0,0,1,0,0,0,839812403536,3,1,18,9,0.2,1.3507931819820769,0,4,2026-06-26T02:43:34.103Z,1.152651457809298
Nothing,0,,1,Beep,,No,0,0,0,0,0,0,3,2,0,0,0,899352433976,7,1,5,3,0,0.09457283423324994,0,1,2026-06-26T03:07:48.261Z,0.09250503762307655
No,0,,0,,,No,1,1,1,1,1,1,1,1,2,1,2,869822633666,5,3,40,6,1,0.33245284928473867,1,5,2026-06-26T04:22:34.128Z,0.19912048009569777
Nothing,0,,0,,,No,0,0,0,0,0,0,2,2,1,0,0,559152833836,7,3,26,3,0.05,0.3877108802559711,0,4,2026-06-26T03:28:21.441Z,0.23299098413536323
Some kind of injection,1,I had to get up in the middle but knew before I was dreaming ,0,,Don't know,No,3,2,1,1,0,1,1,1,1,1,3,349462673936,3,2,134,6,1,0.8438381587143668,1,5,2026-06-26T03:16:13.849Z,0.9349961975467865
Party Costco ,1,Thought it,0,,Thought it could make b others do what i wanted them to do,Shane,4,4,3,3,3,4,3,4,3,3,4,139662433656,6,3,64,10,1,0.21515163247996094,1,5,2026-06-26T02:06:19.776Z,0.21452255668877873
I remember my brother watching a Ghostbusters cartoon and doing a puzzle where he had to paint the pieces. I then got ice cream at a busy place with a long line and went to a thrift store then was playing on monkey bars.,0,,0,,,No,0,0,0,0,0,0,0,0,3,3,1,609382353906,0,3,53,9,,0.15480688260754327,0,0,2026-06-26T03:30:49.410Z,0.18298134603379346
Dreamed of former work associates ,0,,0,,,No,1,1,1,1,1,1,4,3,2,1,3,989992943266,7,2,8,3,0,1.272548774732659,0,2,2026-06-26T03:25:15.157Z,0.147898044737712
Nothing ,0,,0,,,No,1,1,1,1,1,1,3,1,3,2,1,389482323236,2,2,1,1,,0.09326264845015768,0,0,2026-06-26T04:44:53.601Z,0.0325702001973878
I don't recall dreaming last night,0,,0,,,,1,1,1,1,1,1,2,1,1,2,1,329182283526,3,1,59,15,0.55,0.09332089543838284,1,5,2026-06-26T05:29:08.241Z,0.08811597819787509
no dreams,0,,0,,,,0,0,0,0,0,0,0,0,0,2,1,389132113316,0,4,180,10,,0.38664469037540633,0,0,2026-06-26T05:21:30.294Z,0.26306150636721853
I don't remember anything from my dreams last night. ,0,,1,They didn't appear in my dreams. I woke up and they were playing on my phone. ,,No,1,1,1,1,1,1,5,3,4,4,4,989442303806,6,1,103,7,1,0.2661000922826757,1,5,2026-06-26T05:41:15.599Z,0.2639389080371159
"I had a few dreams throughout the night. Grocery shopping, working in a dental office, driving around and hanging out with a new guy, my brother and son driving a truck.",0,,0,,,No,1,4,3,5,1,4,0,4,0,0,0,449582833316,0,1,131,9,,0.2301686072014883,0,0,2026-06-26T05:26:31.837Z,0.2763181485446921
"I do remember having a dream, but no thoughts, sensations, or feelings.",0,,0,,,No,1,1,1,1,1,1,3,3,1,2,3,719602313796,2,4,9,2,0.1,2.188868909870129,0,2,2026-06-26T12:18:10.878Z,1.8824049011184385
Trails,0,,1,Light,,No,3,2,3,2,2,2,1,1,1,1,1,579562183996,4,4,53,16,0.09,1.2746106224382647,1,5,2026-06-27T01:35:48.420Z,1.3666002334444258
"Large crowd, feeling tired and overwhelmed ",1,Absurd setting and didn't make sense,0,,Spontaneous ,No,5,5,5,5,1,5,3,3,1,1,1,379172703886,1,2,152,65,1,0.4119560375203922,1,5,2026-06-27T01:59:36.602Z,0.41065395854997133
I don't recall my dreams from last night. ,0,,0,,,"No. We had gone to a show, and it was a later bedtime than normal. ",3,3,3,3,3,3,3,3,3,4,4,999252563296,0,4,38,12,,0.44774740147881537,0,0,2026-06-27T04:11:53.055Z,0.39214225707973244
