"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)",lucid_state,"If so, describe when and how you realized you were dreaming",cue_notice,"If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.,"While dreaming, I often asked myself whether I was dreaming.","While dreaming, I was aware of the fact that other dream characters in my dream were not real.",You feel more restless than usual,You woke up more than usual during last night,Waking up in the morning was more difficult than usual,It took longer than usual to wake up,You felt more tired than usual when waking up,pid,Age,Gender,baseline_LD_freq,baseline_LD_freq_ord,baseline_sleep_qual,rem_episode_count,train_cap_reached_count,device_time_start,motion_80pct_cutoff_first_4h,condition,device_time_end,rem_minutes,rem_motion_avg,induction_arousal_any,induction_arousal_volume,induction_arousal_count,induction_highest_volume,total_trains_delivered,disruptive_arousal_any,disruptive_arousal_count,disruptive_arousal_volume,total_induction_cues,mean_train_duration_sec
"Waking up more, definitely being more restless",0,,0,,,,2,1,1,1,1,1,5,5,4,1,3,989102553716,22.0,Female,Several times per week,5.0,6.0,22,0,2026-06-05T05:15:28.320Z,1.385332221165779,5.0,2026-06-05T10:30:11.937Z,22.0,1.386240163162372,1.0,0.025,2.0,0.025,4.0,0.0,0.0,,18.0,136.25
I woke up to the beeps when there were many of them in a row. ,0,,0,,,,1,1,1,1,1,1,4,4,2,1,3,989102553716,22.0,Female,Several times per week,5.0,6.0,77,1,2026-06-06T02:55:19.812Z,1.3813877280728994,5.0,2026-06-06T10:43:39.606Z,58.0,1.391080574670779,1.0,0.75,1.0,1.0,5.0,0.0,0.0,,68.0,156.6
I woke up when there were series of the sounds for a long time ,0,,0,,,,1,1,1,1,1,1,4,3,3,3,4,989102553716,22.0,Female,Several times per week,5.0,6.0,31,0,2026-06-07T04:33:16.381Z,1.4271689026075955,1.0,2026-06-07T11:26:26.119Z,19.0,1.432992168416314,1.0,0.55,1.0,1.0,4.0,0.0,0.0,,54.0,156.5
I had active dreams after I fell back asleep after being woken up by the sound of the cue. ,0,,0,,,,1,1,1,1,1,1,4,5,3,2,3,989102553716,22.0,Female,Several times per week,5.0,6.0,75,0,2026-06-08T04:03:19.656Z,1.4260550397743976,6.0,2026-06-08T10:41:47.029Z,16.0,1.8688537043227,0.0,0.55,0.0,0.0,2.0,0.0,0.0,,2.0,118.0
I ft like “waves” throughout my body when I heard the sounds a few time ,0,,0,,,,0,0,0,0,0,0,5,5,4,2,4,309772723476,28.0,Female,A few times per year,2.0,8.0,102,0,2026-06-09T03:45:30.074Z,1.373030517305574,2.0,2026-06-09T11:24:20.315Z,27.0,1.81588496930764,0.0,,0.0,0.2,3.0,0.0,0.0,,15.0,133.0
I remember some of what happened during my dreams but nothing strongly ,0,,0,,,,1,1,1,1,1,1,2,3,2,1,2,989102553716,22.0,Female,Several times per week,5.0,6.0,12,0,2026-06-09T04:59:33.451Z,1.430419990896528,2.0,2026-06-09T11:34:14.723Z,17.0,1.436919242735835,1.0,0.08,1.0,1.0,3.0,0.0,0.0,,39.0,155.0
I just remember sleeping much better compared to previous nights ,0,,0,,,,1,1,1,1,1,1,2,1,1,1,2,989102553716,22.0,Female,Several times per week,5.0,6.0,42,0,2026-06-10T04:41:01.477Z,1.426466425152878,0.0,2026-06-10T11:51:46.413Z,28.0,1.433466596901294,0.0,0.08,0.0,,0.0,0.0,0.0,,0.0,
Thoughts/ events ,0,,0,,,Yes I remembered the dreams and that I was trying to change them ,1,0,0,0,1,0,1,3,5,4,4,309772723476,28.0,Female,A few times per year,2.0,8.0,24,0,2026-06-10T03:50:03.287Z,1.4412010344457664,0.0,2026-06-10T10:33:45.593Z,23.0,1.43601293649496,0.0,,0.0,,0.0,0.0,0.0,,0.0,
I remeber hearing the sound and thinking i could go back to the dream and try to be lucid. I am not sure if it was the dream or my imagination forcing it in a semi-awake status but i imagined to fly,1,Above,1,I think they woke me up,It was after the cues,,0,1,2,3,0,3,4,4,5,4,3,379882713876,24.0,Male,Never,0.0,9.0,16,1,2026-06-10T22:45:40.936Z,1.3707340089642397,5.0,2026-06-11T05:51:05.211Z,47.0,1.386199282540405,1.0,0.09,3.0,0.35,5.0,0.0,0.0,,38.0,141.0
,0,,0,,,No,0,0,0,0,0,0,4,1,2,0,3,309772723476,28.0,Female,A few times per year,2.0,8.0,3,0,2026-06-11T04:35:23.747Z,1.4976971046483278,6.0,2026-06-11T09:48:29.873Z,2.0,1.56820433557053,0.0,,0.0,,0.0,0.0,0.0,,0.0,
I remember feeling weirdly relaxed in my dreams like I had a lot of time. ,1,I had kind of woken up and then fell back asleep again. I think there wasn’t a lot happening in the dream. So I was asleep but there wasn’t like a real plot taking place yet. So I realised I was asleep ,0,,I think it was because I woke up a bit. ,,3,2,2,1,1,2,1,3,1,1,3,989102553716,22.0,Female,Several times per week,5.0,6.0,34,0,2026-06-11T04:01:33.913Z,1.429220052888109,7.0,2026-06-11T11:13:08.617Z,19.0,1.532208880391683,1.0,0.09,1.0,0.09,4.0,0.0,0.0,,13.0,125.0
I had dreams,0,,0,,,No,0,0,0,0,0,0,2,4,4,3,3,379882713876,24.0,Male,Never,0.0,9.0,14,1,2026-06-11T22:33:49.791Z,1.4053247697524147,3.0,2026-06-12T08:20:36.060Z,74.0,1.445311380535466,1.0,0.08,3.0,0.65,5.0,0.0,0.0,,44.0,
,0,,0,,,No,0,0,0,0,0,0,0,4,4,1,4,309772723476,28.0,Female,A few times per year,2.0,8.0,16,1,2026-06-12T04:40:01.595Z,1.4319330074271843,1.0,2026-06-12T11:43:10.721Z,22.0,1.429293512167998,0.0,,0.0,1.0,5.0,1.0,1.0,1.0,88.0,171.0
I felt more relaxed than previous nights,0,,0,,,,1,1,1,1,1,1,1,2,1,1,1,989102553716,22.0,Female,Several times per week,5.0,6.0,55,1,2026-06-12T04:37:54.173Z,1.4331808992510942,3.0,2026-06-12T12:00:54.905Z,55.0,1.443440286571173,1.0,0.65,2.0,0.65,5.0,0.0,0.0,,67.0,
No lucid dreams,0,,1,-,,I thjnk there was a bug and a weird sound started to play like a bee noise flying,1,0,1,0,1,1,2,4,3,2,3,379882713876,24.0,Male,Never,0.0,9.0,18,0,2026-06-12T22:58:54.588Z,1.397261719867202,7.0,2026-06-13T05:56:42.122Z,7.0,3.803914539969529,0.0,0.08,0.0,0.0,1.0,0.0,0.0,,1.0,120.0
I slept better than usual and remember having more dreams ,0,,0,,,,1,1,1,1,1,1,2,2,2,1,1,989102553716,22.0,Female,Several times per week,5.0,6.0,83,1,2026-06-13T05:16:25.133Z,1.4278702088629367,4.0,2026-06-13T14:40:41.948Z,26.0,1.546121891814544,1.0,0.15,1.0,0.15,5.0,0.0,0.0,,16.0,127.6
Not a lot,0,,0,,,No,0,1,1,2,1,0,4,3,4,4,5,379882713876,24.0,Male,Never,0.0,9.0,10,0,2026-06-13T23:18:54.194Z,1.4163399898022029,0.0,2026-06-14T07:53:42.645Z,45.0,1.428855001820256,0.0,0.08,0.0,,0.0,0.0,0.0,,0.0,
I had vivid dreams. ,0,,0,,,,1,1,1,1,1,1,1,1,1,1,1,989102553716,22.0,Female,Several times per week,5.0,6.0,46,0,2026-06-14T04:09:42.321Z,1.426549153898427,3.0,2026-06-14T11:30:03.450Z,13.0,1.441762785194701,1.0,,1.0,0.0,1.0,0.0,0.0,,1.0,
I slept pretty much straight through the night ,0,,0,,,,1,1,1,1,1,1,1,1,1,1,1,989102553716,22.0,Female,Several times per week,5.0,6.0,6,0,2026-06-15T04:57:53.228Z,1.4298550331909954,2.0,2026-06-15T11:59:22.740Z,5.0,1.437863081765045,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,118.0
I slept more deeply while having dreams ,0,,0,,,,1,1,1,1,1,1,1,1,2,1,1,989102553716,22.0,Female,Several times per week,5.0,6.0,20,0,2026-06-16T05:54:28.292Z,1.431941821188629,6.0,2026-06-16T12:19:14.109Z,11.0,1.931933215964266,0.0,,0.0,0.45,2.0,0.0,0.0,,19.0,144.5
Was in a restaurant with family and saw my guidance counselor with her family and was surprised and I sit close to them and talked,0,,0,,,No,1,1,1,1,1,1,1,1,3,4,1,649352693886,30.0,Male,A few times per year,2.0,4.0,6,0,2026-06-19T05:02:15.476Z,0.5000099007474158,0.0,2026-06-19T14:01:08.843Z,118.0,0.4255658129853704,0.0,,0.0,,0.0,0.0,0.0,,0.0,
I was in a hotel with my family and I felt excited and nostalgia and we went to the pool,0,,0,,,No,1,1,1,1,1,1,3,1,1,1,1,649352693886,30.0,Male,A few times per year,2.0,4.0,6,0,2026-06-18T04:40:00.166Z,0.3329407785659721,0.0,2026-06-18T11:33:15.782Z,49.0,0.3228347413673711,0.0,,0.0,,0.0,0.0,0.0,,0.0,
Me talking to my cousin's dog and another dream where my other cousin tries to break my watch,0,,0,,,No,0,1,0,0,0,0,1,1,1,1,1,649352693886,30.0,Male,A few times per year,2.0,4.0,6,1,2026-06-20T05:50:28.000Z,0.3563643679907252,7.0,2026-06-20T13:07:48.038Z,58.0,0.335361111610981,1.0,0.05,4.0,0.07,5.0,1.0,5.0,0.3700000000000002,32.0,138.4
I remember being in some vintage movie theater where I had this Controller and some lady said I could control the movie with it and the cues woke me up from the dream but didn't make me lucid,0,,1,I heard it in the dream but woke up shortly after ,,No,0,0,0,0,0,0,0,4,0,2,4,649352693886,30.0,Male,A few times per year,2.0,4.0,6,0,2026-06-21T06:27:59.632Z,0.557145349583824,3.0,2026-06-21T12:22:14.305Z,23.0,0.6610337130089451,1.0,0.07,3.0,0.07,4.0,0.0,0.0,,20.0,
Nothing,0,,0,,,No,0,0,0,0,0,0,1,0,0,0,0,559152833836,76.0,Female,Never,0.0,6.0,2,0,2026-06-24T03:30:44.779Z,0.2009032020107271,2.0,2026-06-24T08:21:30.724Z,22.0,0.1798814487955067,1.0,0.8,3.0,0.8,3.0,0.0,0.0,,34.0,153.0
"I was quite relaxed when i went to sleep. I was tired. I do remember thinking at one point during the night, this is lucidity.",1,"While I was dreaming, I felt like I was awake. I felt concious that I was still asleep, but also knew at that time that I had some control of the direction this dream would go. ",0,,"I don't recall how, or what prompted it.  I feel like I was thinking I could/should write it all down so I could remember. But, unfortunately, I don't remember all the details.  Only that I thought, oh here we are, I'm aware that I'm asleep and knew that I was dreaming, but I was not in control enough to actually wake. ",Not at this moment..,4,4,4,3,2,2,3,3,3,1,4,999252563296,,,,,,1,0,2026-06-24T02:31:54.148Z,0.312425529188848,1.0,2026-06-24T09:10:29.658Z,2.0,2.330940397477812,0.0,,0.0,,1.0,0.0,0.0,,0.0,11.0
Nothing ,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,299542783686,42.0,Female,A few times per year,2.0,4.0,3,1,2026-06-24T04:05:17.588Z,0.2401028900481792,1.0,2026-06-24T09:30:47.360Z,30.0,0.2666417804685596,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,102.0,180.2
No dreams,0,,0,,,,3,3,3,3,3,2,2,0,1,1,1,929882413656,48.0,Male,A few times per year,2.0,6.0,2,0,2026-06-24T04:10:24.205Z,3.405822367815947,3.0,2026-06-24T09:48:03.800Z,19.0,2.287060712124598,1.0,0.2,2.0,0.2,3.0,0.0,0.0,,21.0,
I had no dreams last night.,0,,0,,,,0,0,0,0,0,0,4,4,0,0,3,859972693426,22.0,Male,A few times per year,2.0,7.0,7,0,2026-06-24T04:26:05.451Z,1.7167136348405396,6.0,2026-06-24T09:53:57.009Z,6.0,1.909141737214936,1.0,0.08,1.0,0.08,1.0,1.0,1.0,0.0,9.0,146.0
"Traveling in Europe. Flirting with a woman. Speaking some broken German. There were mountains and castles. I went around exploring but then the woman was mad at me because I left her to go explore then came back to her. Then I was in a German language class.

Then I was traveling with my friend will. We went to Gaza and bought some delicious food from a local Street vendor. Then we're about to head to Israel. And I remembered that the war was going on. Then I woke. I remember thinking that he probably wanted to go to certain places because he's never been before. And maybe I would want to not go to the same places and wondering if it was a good idea to travel with him",0,,0,,,I didn't sleep that great. I usually wear ear plugs when I sleep. I assume that I can't wear them during this study. I've become so accustomed to wearing ear plugs and an eye mask when I sleep. I did wear the eye mask. I'm not sure if I was supposed to or not,0,0,0,0,0,0,4,4,1,0,3,909232733626,44.0,Male,Less than once per year,1.0,7.0,1,0,2026-06-24T04:50:15.302Z,0.756121275299613,3.0,2026-06-24T09:44:14.258Z,9.0,0.5486229518087988,1.0,0.03,1.0,0.03,1.0,0.0,0.0,,4.0,
Being with others and traveling ,1,Sensation of being elsewhere ,0,,Not sure,Peaceful ,3,4,2,2,1,1,0,1,0,0,0,379172703886,73.0,Male,Several times per week,5.0,8.0,9,1,2026-06-24T01:30:25.529Z,0.3249561779457577,1.0,2026-06-24T09:47:11.978Z,75.0,0.2979359813648772,1.0,0.06,3.0,0.8,5.0,1.0,3.0,0.4,35.0,139.6
,0,,0,,,,1,1,1,1,1,1,1,1,1,1,4,349462673936,,,,,,2,0,2026-06-24T02:43:56.540Z,0.0741708416795136,4.0,2026-06-24T10:45:36.263Z,8.0,0.06829511026150066,0.0,,0.0,0.05,2.0,0.0,0.0,,12.0,142.0
Nothing.,0,,0,,,No,1,1,1,1,1,1,3,2,2,2,4,389482323236,,,,,,23,0,2026-06-24T03:26:49.206Z,2.3076252332032654,0.0,2026-06-24T10:46:31.674Z,102.0,2.258109235865243,0.0,,0.0,,0.0,0.0,0.0,,0.0,
"Weird.  I don't know how old I was but I was with a couple and their 3 kids and we were supposed to be doing some worksheets. The husband somehow spilled the sauce over the living room and dining room
 He got sauce on the walls, carpet,  dapes, furniture,  and also broke a few dozen dishes in the process. When I went to help clean it up,  the wife accused me of wanting her husband.  Then my husband called and told me to come home.  In the dream, I know I was not old enough to be married.  I was more like the children's ages- 9, 10.  It left me felling weird  and out of sorts when I woke up.",0,,0,,,I did hear a train sound that upon waking was my phone.,1,2,5,3,1,1,3,4,1,1,1,299342693996,,,,,,12,1,2026-06-24T02:31:55.193Z,0.4392673007905475,,,,,,,,,,,,,,
Dinosaurs and having to run from something,0,,0,,,No,1,2,1,1,1,1,1,1,1,1,1,869822633666,,,,,,4,0,2026-06-24T04:27:03.707Z,0.182720827433135,4.0,2026-06-24T11:01:49.241Z,17.0,0.2027906492119683,1.0,0.06,1.0,1.0,3.0,0.0,0.0,,37.0,177.6666666666667
I felt like my sleep was lighter than normal. I remember being in someone’s room (potentially mine) and laying down and being told to watch these flashing lights for my sleep. The guy leading this study was a young (like early 20s) cute dude. He gave me a back massage and then I don’t remember what happened next but the dream changed to another dream.,0,,0,,,I woke up a few times because of the beeping because they were played close together ,0,2,0,2,0,0,3,5,0,0,1,689222633176,,,,,,19,0,2026-06-24T03:23:08.303Z,1.817171260520044,1.0,2026-06-24T11:00:08.413Z,6.0,2.697344984895237,0.0,,0.0,0.0,1.0,1.0,1.0,0.7000000000000001,1.0,120.0
I remember staying in a hotel. I remember walking my dog in a parking lot.,0,,0,,,I remember a dreamlike state while first falling asleep,0,0,0,0,0,0,3,4,1,1,1,609382353906,37.0,Male,Less than once per year,1.0,7.0,9,0,2026-06-24T03:08:28.218Z,0.5508283991639984,5.0,2026-06-24T11:07:16.223Z,18.0,0.5860265898559838,1.0,0.02,1.0,0.02,3.0,0.0,0.0,,5.0,123.3333333333333
"The previous evening I was called out for my job and only got 4 hours of sleep, with no nap, so I was extremely tired. I tried to get to sleep using a dream starter to see see where my mind would take me and if I could lucid dream. I did the practice, but once I fell asleep, I don't remember any of my dreams. I felt like there were periods where I was more lucid and wondered if my phone was working because I didn't hear the tone, and when I did hear the tone, I reacted like it was an alarm and tried to get it to stop, so I'll have to keep practicing with it. ",0,,0,,,,1,1,1,1,1,1,4,4,3,3,4,559112503106,47.0,Female,Several times per week,5.0,7.0,12,1,2026-06-24T02:21:30.977Z,0.9453576051911354,1.0,2026-06-24T11:38:17.756Z,84.0,0.9033825202648869,1.0,0.08,1.0,0.08,5.0,1.0,5.0,0.3,13.0,126.0
Don't recall dreaming. ,0,,0,,,no,0,0,0,0,0,0,0,0,2,2,2,389132113316,,,,,,1,0,2026-06-24T06:23:17.943Z,0.1303808680915747,2.0,2026-06-24T11:52:11.516Z,4.0,0.2975388440006229,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,121.0
"Numb tingling, kept eakinh me",0,,1,Wole me jup,,Tried to induce dream. Make pics. Snorkel,5,5,2,5,1,3,0,4,4,4,4,139662433656,,,,,,7,1,2026-06-24T03:11:29.020Z,0.1327129398152454,2.0,2026-06-24T11:56:50.877Z,118.0,0.1553775276861996,1.0,0.4,1.0,1.0,5.0,0.0,0.0,,77.0,165.2
I remember thinking about my wife right before waking up.. I may have been awake at that point but I did not move or open my eyes.  She is in Iceland this week with two of our three children. ,0,,0,,,"Nothing, I do not feel refreshed this morning, I did go to bed late last night, 2:30 Am.   Which isn't abnormal.. Let me know if I should actively try to go to bed earlier",0,0,0,0,2,0,5,1,5,5,5,869982223106,,,,,,3,1,2026-06-24T06:41:32.619Z,0.2609637214474377,1.0,2026-06-24T11:53:46.555Z,21.0,0.2974244546008336,1.0,0.4,1.0,1.0,5.0,1.0,3.0,1.0,105.0,182.4
Only bits and pieces. Normal life scenarios. Feelings of calm.,0,,0,,,No,1,0,0,0,0,0,0,0,1,1,0,719202523406,40.0,Female,A few times per year,2.0,6.0,3,0,2026-06-24T07:37:59.272Z,0.921718938329927,6.0,2026-06-24T12:08:38.772Z,6.0,2.750924547136094,0.0,,0.0,,1.0,1.0,1.0,0.08,0.0,105.0
"I don't recall having any dreams last night. I actually didn't sleep well, but I've been going through a bout of insomnia lately. ",0,,1,I didn't have a dream last night but I do recall in a sleeping haze hearing beeping.,,No,3,4,4,4,0,5,3,3,1,2,1,119252313396,42.0,Female,Weekly,4.0,5.0,8,1,2026-06-24T01:53:36.636Z,0.447825612664763,5.0,2026-06-24T10:42:15.300Z,51.0,0.4136296017892621,1.0,0.35,3.0,1.0,5.0,0.0,0.0,,53.0,150.8
I felt cautious. My grandfather was in it who passed away over 6 years ago,0,,0,,,I was glad to see my grandpa ,1,1,1,1,1,1,2,4,1,1,3,769362533216,44.0,Female,Less than once per year,1.0,8.0,3,0,2026-06-24T06:00:53.178Z,0.4360239437028962,7.0,2026-06-24T12:40:14.305Z,21.0,0.5774596472947199,1.0,0.95,1.0,1.0,4.0,1.0,4.0,0.05,59.0,163.0
Nothing,0,,0,,,No,0,0,0,0,0,0,0,1,1,1,1,469412693116,46.0,Male,Never,0.0,6.0,11,1,2026-06-24T03:39:04.587Z,0.1065441932572003,3.0,2026-06-24T10:53:03.929Z,46.0,0.1882936172189333,1.0,0.02,3.0,0.45,5.0,0.0,0.0,,34.0,
Very little. I didn't sleep very well and barely remember anything. ,1,They're was a point in one of my dreams where I was late for work. But i knew it wasn't real. ,1,I heard the ring noise from my phone as my alarm to wake up,It was spontaneous. I was just aware that I was dreaming and it wasn't real.  ,I didn't sleep well. I got a bug bite and was tossing and turning all night so I don't remember much.,3,3,3,3,2,2,1,4,4,3,4,989422303806,,,,,,4,1,2026-06-24T03:54:41.481Z,0.3024897264369603,5.0,2026-06-24T13:02:43.142Z,75.0,0.1624640270927982,1.0,0.45,4.0,1.0,5.0,0.0,0.0,,102.0,180.4
"I remember talking to people, but I don't remember what the conversation was about except for a few sentences about a specific person.",0,,0,,,,0,0,0,2,0,3,5,2,0,0,2,539362833586,21.0,Female,Monthly,3.0,4.0,14,0,2026-06-24T04:12:02.565Z,0.1060594160930798,0.0,2026-06-24T13:35:13.775Z,103.0,0.1197547312117117,0.0,,0.0,,0.0,0.0,0.0,,0.0,
No,0,,0,,,No,1,0,0,1,0,0,0,0,2,2,1,669392133326,21.0,Male,Less than once per year,1.0,5.0,10,0,2026-06-24T06:32:42.490Z,1.652771940826799,5.0,2026-06-24T13:15:08.875Z,29.0,1.723555554696607,1.0,0.09,3.0,0.55,4.0,0.0,0.0,,38.0,128.0
"I had more vivid dreams, I was at no point lucid but as soon as the dream ended I was aware of it",0,,0,,,No,2,2,2,2,1,2,1,3,3,3,3,729422983146,,,,,,9,1,2026-06-24T06:26:33.601Z,0.9231751327505652,6.0,2026-06-24T14:20:41.995Z,86.0,0.8542594499270059,0.0,,0.0,1.0,5.0,1.0,4.0,0.13,117.0,189.8
I remember realizing it was a dream but don't remember details ,1,I just knew somehow,0,,It just sorta happened ,,3,1,2,3,0,3,0,3,0,0,1,489412463416,45.0,Female,A few times per year,2.0,6.0,5,1,2026-06-24T14:00:45.353Z,0.0422056596185755,1.0,2026-06-24T20:14:44.079Z,29.0,0.06367662507900561,1.0,0.6,2.0,0.95,5.0,1.0,4.0,0.7000000000000001,52.0,149.6
"I was really high up in the air and about to skydive, i could choose a ton of things to fall woth and i remember the person i was with. Getting to this height was also optional by me",0,,0,,,,2,3,5,5,0,0,2,4,3,3,2,809312773786,19.0,Male,Never,0.0,9.0,12,0,2026-06-24T16:10:55.073Z,1.688863820774085,0.0,2026-06-24T23:21:00.710Z,70.0,1.764169256168581,0.0,0.09,0.0,,0.0,0.0,0.0,,0.0,
Yes,1,2am floating ,1,Trees and sunlight,Spontaneous ,Floating ,4,3,4,3,3,3,3,2,2,2,1,579562183996,,,,,,6,0,2026-06-25T00:38:12.529Z,0.5849371467442512,2.0,2026-06-25T06:31:11.291Z,16.0,0.6600135029371225,0.0,,0.0,0.0,4.0,0.0,0.0,,4.0,121.0
Peaceful ,1,Experiencing activity elsewhere ,0,,Unsure ,No,3,3,3,3,1,3,1,1,0,0,0,379172703886,73.0,Male,Several times per week,5.0,8.0,2,1,2026-06-25T01:29:06.963Z,1.1500915217140155,3.0,2026-06-25T09:46:58.822Z,97.0,0.4405431714364933,1.0,0.04,2.0,1.0,5.0,0.0,0.0,,42.0,
Nothimg,0,,0,,,No.,0,0,0,0,0,0,1,0,0,0,0,559152833836,76.0,Female,Never,0.0,6.0,15,0,2026-06-25T02:26:15.242Z,0.5042880996244644,0.0,2026-06-25T10:00:18.912Z,106.0,0.4795655999676789,0.0,0.8,0.0,,0.0,0.0,0.0,,0.0,
"Nothing really, just being woken up once by my own prompt "" I am dreaming"" .",0,,0,,,No,0,0,0,0,0,0,2,2,0,0,0,299342693996,,,,,,8,1,2026-06-25T02:48:10.217Z,0.560786294177929,4.0,2026-06-25T10:06:23.303Z,80.0,0.4294555902466112,1.0,0.01,4.0,0.55,5.0,0.0,0.0,,57.0,153.4
Trying to organize a  luncheon for work  and not getting any cooperation from others ,0,,0,,,Looking for a bathroom ,1,1,1,1,1,1,3,1,1,1,1,989992953266,,,,,,14,1,2026-06-25T03:22:20.793Z,0.1805175136139351,5.0,2026-06-25T10:30:23.428Z,29.0,0.1775115647515775,1.0,0.7,2.0,1.0,5.0,0.0,0.0,,84.0,169.6
